id,linkedResource,property,matchedResourceUri,matchedResourceName,created
"81","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/93","1","http://es.dbpedia.org/resource/(1821)_Aconcagua","(1821) Aconcagua",2014-05-15T00:00:00Z
"10150","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/16360","1","http://es.dbpedia.org/resource/(1938)_Lausana","(1938) Lausana",2014-05-15T00:00:00Z
"20268","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/19083","1","http://es.dbpedia.org/resource/(1949)_Messina","(1949) Messina",2014-05-15T00:00:00Z
"2558","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/7470","1","http://es.dbpedia.org/resource/5_de_marzo","5 de marzo",2014-05-15T00:00:00Z
"20569","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/31060","1","http://es.dbpedia.org/resource/Abadía_de_Solesmes","Abadía de Solesmes",2014-05-15T00:00:00Z
"47","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/9000010","1","http://es.dbpedia.org/resource/Abril","Abril",2014-05-15T00:00:00Z
"65","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/90","1","http://es.dbpedia.org/resource/Acacia","Acacia",2014-05-15T00:00:00Z
"66","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/90","1","http://es.dbpedia.org/resource/Acacias_(planta)","Acacias (planta)",2014-05-15T00:00:00Z
"72","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/12950","1","http://es.dbpedia.org/resource/Academia_General_Militar","Academia General Militar",2014-05-15T00:00:00Z
"51","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/92","1","http://es.dbpedia.org/resource/Acequia","Acequia",2014-05-15T00:00:00Z
"80","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/93","1","http://es.dbpedia.org/resource/Aconcagua","Aconcagua",2014-05-15T00:00:00Z
"84","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/98","1","http://es.dbpedia.org/resource/Acuario_(astrología)","Acuario (astrología)",2014-05-15T00:00:00Z
"82","http://www.zaragoza.es/api/recurso/urbanismo-infraestructuras/callejero/via/98","1","http://es.dbpedia.org/resource/Acuario_(constelación)","Acuario (constelación)",2014-05-15T00:00:00Z
